date,hours_available,temperature_max_c,temperature_min_c,temperature_mean_c,humidity_max_pct,humidity_mean_pct,wind_mean_mps,solar_max_wm2,heat_index_max_c,wet_bulb_max_c,wbgt_max_c,wbgt_mean_c,utci_max_c,utci_mean_c,danger_hours,extreme_hours,night_temperature_min_c,daily_heat_level,is_dangerous_day,consecutive_danger_days,previous_day_wbgt_c,previous_day_utci_c,wbgt_3day_mean_c,utci_3day_mean_c,thermal_hazard_score,heat_duration_score,ward_id,ward_name,population,area_sq_km,children_0_6,elderly_60_plus,outdoor_workers,mean_ndvi,hospitals_per_100k,population_density,child_percentage,elderly_percentage,outdoor_worker_percentage,population_density_score,population_size_score,child_vulnerability_score,elderly_vulnerability_score,outdoor_worker_score,vegetation_deficiency_score,healthcare_deficiency_score,demographic_vulnerability_score,population_exposure_score,vulnerability_level,mortality_risk_index,risk_level,alert_colour,recommended_action,risk_rank_within_city,model_version,risk_interpretation
2024-05-04,24,42.71,26.08,33.94,25.12,15.78,3.3,959.45,39.23,19.13,27.89,22.4,50.68,34.6,8,6,26.08,Extreme,True,3,25.28,47.56,26.05,47.9,67.97,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,64.35,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-04,24,42.71,26.08,33.94,25.12,15.78,3.3,959.45,39.23,19.13,27.89,22.4,50.68,34.6,8,6,26.08,Extreme,True,3,25.28,47.56,26.05,47.9,67.97,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,58.21,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-04,24,42.71,26.08,33.94,25.12,15.78,3.3,959.45,39.23,19.13,27.89,22.4,50.68,34.6,8,6,26.08,Extreme,True,3,25.28,47.56,26.05,47.9,67.97,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,56.86,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-04,24,42.71,26.08,33.94,25.12,15.78,3.3,959.45,39.23,19.13,27.89,22.4,50.68,34.6,8,6,26.08,Extreme,True,3,25.28,47.56,26.05,47.9,67.97,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,52.64,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-04,24,42.71,26.08,33.94,25.12,15.78,3.3,959.45,39.23,19.13,27.89,22.4,50.68,34.6,8,6,26.08,Extreme,True,3,25.28,47.56,26.05,47.9,67.97,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,47.28,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-05,24,43.84,24.75,34.47,35.81,20.69,3.89,943.4,41.39,21.45,30.01,23.94,52.37,35.56,10,7,24.75,Extreme,True,4,27.89,50.68,27.73,50.2,77.52,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,73.39,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-05,24,43.84,24.75,34.47,35.81,20.69,3.89,943.4,41.39,21.45,30.01,23.94,52.37,35.56,10,7,24.75,Extreme,True,4,27.89,50.68,27.73,50.2,77.52,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,66.39,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-05,24,43.84,24.75,34.47,35.81,20.69,3.89,943.4,41.39,21.45,30.01,23.94,52.37,35.56,10,7,24.75,Extreme,True,4,27.89,50.68,27.73,50.2,77.52,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,64.85,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-05,24,43.84,24.75,34.47,35.81,20.69,3.89,943.4,41.39,21.45,30.01,23.94,52.37,35.56,10,7,24.75,Extreme,True,4,27.89,50.68,27.73,50.2,77.52,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,60.04,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-05,24,43.84,24.75,34.47,35.81,20.69,3.89,943.4,41.39,21.45,30.01,23.94,52.37,35.56,10,7,24.75,Extreme,True,4,27.89,50.68,27.73,50.2,77.52,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,53.92,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-06,24,43.03,26.86,34.93,32.61,20.65,3.79,928.4,40.95,21.67,29.91,24.39,51.56,36.15,10,7,26.86,Extreme,True,5,30.01,52.37,29.27,51.54,76.94,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,72.84,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-06,24,43.03,26.86,34.93,32.61,20.65,3.79,928.4,40.95,21.67,29.91,24.39,51.56,36.15,10,7,26.86,Extreme,True,5,30.01,52.37,29.27,51.54,76.94,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,65.89,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-06,24,43.03,26.86,34.93,32.61,20.65,3.79,928.4,40.95,21.67,29.91,24.39,51.56,36.15,10,7,26.86,Extreme,True,5,30.01,52.37,29.27,51.54,76.94,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,64.36,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-06,24,43.03,26.86,34.93,32.61,20.65,3.79,928.4,40.95,21.67,29.91,24.39,51.56,36.15,10,7,26.86,Extreme,True,5,30.01,52.37,29.27,51.54,76.94,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,59.59,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-06,24,43.03,26.86,34.93,32.61,20.65,3.79,928.4,40.95,21.67,29.91,24.39,51.56,36.15,10,7,26.86,Extreme,True,5,30.01,52.37,29.27,51.54,76.94,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,53.52,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-07,24,43.37,27.68,35.9,30.89,19.2,2.13,891.7,41.02,21.39,30.06,24.92,49.59,36.47,10,5,27.68,Extreme,True,6,29.91,51.56,29.99,51.17,77.23,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,73.11,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-07,24,43.37,27.68,35.9,30.89,19.2,2.13,891.7,41.02,21.39,30.06,24.92,49.59,36.47,10,5,27.68,Extreme,True,6,29.91,51.56,29.99,51.17,77.23,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,66.14,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-07,24,43.37,27.68,35.9,30.89,19.2,2.13,891.7,41.02,21.39,30.06,24.92,49.59,36.47,10,5,27.68,Extreme,True,6,29.91,51.56,29.99,51.17,77.23,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,64.61,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-07,24,43.37,27.68,35.9,30.89,19.2,2.13,891.7,41.02,21.39,30.06,24.92,49.59,36.47,10,5,27.68,Extreme,True,6,29.91,51.56,29.99,51.17,77.23,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,59.82,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-07,24,43.37,27.68,35.9,30.89,19.2,2.13,891.7,41.02,21.39,30.06,24.92,49.59,36.47,10,5,27.68,Extreme,True,6,29.91,51.56,29.99,51.17,77.23,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,53.72,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-08,24,43.13,27.43,35.02,30.64,19.31,3.29,898.8,40.13,20.37,29.25,24.09,50.79,35.31,10,5,27.43,Extreme,True,7,30.06,49.59,29.74,50.65,73.88,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,69.94,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-08,24,43.13,27.43,35.02,30.64,19.31,3.29,898.8,40.13,20.37,29.25,24.09,50.79,35.31,10,5,27.43,Extreme,True,7,30.06,49.59,29.74,50.65,73.88,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,63.27,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-08,24,43.13,27.43,35.02,30.64,19.31,3.29,898.8,40.13,20.37,29.25,24.09,50.79,35.31,10,5,27.43,Extreme,True,7,30.06,49.59,29.74,50.65,73.88,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,61.8,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-08,24,43.13,27.43,35.02,30.64,19.31,3.29,898.8,40.13,20.37,29.25,24.09,50.79,35.31,10,5,27.43,Extreme,True,7,30.06,49.59,29.74,50.65,73.88,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,57.22,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-08,24,43.13,27.43,35.02,30.64,19.31,3.29,898.8,40.13,20.37,29.25,24.09,50.79,35.31,10,5,27.43,Extreme,True,7,30.06,49.59,29.74,50.65,73.88,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,51.39,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-09,24,40.91,25.64,33.19,44.68,28.64,3.54,906.35,39.85,22.46,30.13,24.57,48.07,33.49,9,4,25.64,Extreme,True,8,29.25,50.79,29.81,49.48,75.75,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,71.71,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-09,24,40.91,25.64,33.19,44.68,28.64,3.54,906.35,39.85,22.46,30.13,24.57,48.07,33.49,9,4,25.64,Extreme,True,8,29.25,50.79,29.81,49.48,75.75,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,64.87,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-09,24,40.91,25.64,33.19,44.68,28.64,3.54,906.35,39.85,22.46,30.13,24.57,48.07,33.49,9,4,25.64,Extreme,True,8,29.25,50.79,29.81,49.48,75.75,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,63.37,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-09,24,40.91,25.64,33.19,44.68,28.64,3.54,906.35,39.85,22.46,30.13,24.57,48.07,33.49,9,4,25.64,Extreme,True,8,29.25,50.79,29.81,49.48,75.75,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,58.67,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-09,24,40.91,25.64,33.19,44.68,28.64,3.54,906.35,39.85,22.46,30.13,24.57,48.07,33.49,9,4,25.64,Extreme,True,8,29.25,50.79,29.81,49.48,75.75,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,52.69,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-10,24,41.9,26.61,34.37,41.21,27.33,3.04,898.53,40.38,22.21,30.7,25.28,48.15,34.97,9,4,26.61,Extreme,True,9,30.13,48.07,30.03,49.0,78.4,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,74.22,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-10,24,41.9,26.61,34.37,41.21,27.33,3.04,898.53,40.38,22.21,30.7,25.28,48.15,34.97,9,4,26.61,Extreme,True,9,30.13,48.07,30.03,49.0,78.4,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,67.14,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-10,24,41.9,26.61,34.37,41.21,27.33,3.04,898.53,40.38,22.21,30.7,25.28,48.15,34.97,9,4,26.61,Extreme,True,9,30.13,48.07,30.03,49.0,78.4,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,65.58,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-10,24,41.9,26.61,34.37,41.21,27.33,3.04,898.53,40.38,22.21,30.7,25.28,48.15,34.97,9,4,26.61,Extreme,True,9,30.13,48.07,30.03,49.0,78.4,100.0,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,60.72,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-10,24,41.9,26.61,34.37,41.21,27.33,3.04,898.53,40.38,22.21,30.7,25.28,48.15,34.97,9,4,26.61,Extreme,True,9,30.13,48.07,30.03,49.0,78.4,100.0,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,54.53,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-11,24,41.73,27.6,34.35,49.26,29.22,2.7,881.8,40.62,22.59,30.16,25.48,49.38,35.92,10,5,27.6,Extreme,True,10,30.7,48.15,30.33,48.53,77.31,100.0,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,73.19,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-11,24,41.73,27.6,34.35,49.26,29.22,2.7,881.8,40.62,22.59,30.16,25.48,49.38,35.92,10,5,27.6,Extreme,True,10,30.7,48.15,30.33,48.53,77.31,100.0,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,66.21,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-11,24,41.73,27.6,34.35,49.26,29.22,2.7,881.8,40.62,22.59,30.16,25.48,49.38,35.92,10,5,27.6,Extreme,True,10,30.7,48.15,30.33,48.53,77.31,100.0,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,64.67,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
