ward_id,ward_name,forecast_date,temperature_max_c,temperature_min_c,temperature_mean_c,humidity_mean_pct,humidity_max_pct,wind_mean_mps,solar_max_wm2,heat_index_max_c,wbgt_max_c,wbgt_mean_c,utci_max_c,thermal_hazard_score,danger_hours,extreme_hours,night_temperature_min_c,peak_risk_time_ist,population_estimate_2020,population_density_per_sq_km,exposure_score,danger_day,consecutive_danger_days,heat_duration_score,mortality_risk_index,risk_level,alert_code,map_color,recommended_action,sms_alert_required,open_cooling_centres,shift_outdoor_work_hours,hospital_surge_alert,model_version,risk_interpretation,vulnerability_data_status
1,NARELA,2026-08-28,33.7,27.3,30.3,76.0,92,2.12,764.0,40.03,30.3,28.31,40.84,67.62,11,0,27.3,2026-08-28T11:00,107464,5301.18,25.21,True,1,33.33,53.0,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
100,KARAM PURA,2026-08-29,34.8,26.7,30.81,68.58,80,1.94,844.0,40.98,31.08,28.04,43.46,74.76,13,1,26.7,2026-08-29T13:00,85704,38197.62,57.18,True,2,66.67,65.87,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
100,KARAM PURA,2026-08-30,35.3,27.4,31.39,64.71,76,1.74,788.0,41.81,31.17,28.15,43.02,74.86,14,1,27.4,2026-08-30T14:00,85704,38197.62,57.18,True,3,100.0,68.45,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
100,KARAM PURA,2026-08-31,35.8,27.4,31.62,61.42,78,1.55,819.0,41.36,31.24,27.98,43.79,75.8,11,2,27.4,2026-08-31T13:00,85704,38197.62,57.18,True,4,100.0,69.31,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
100,KARAM PURA,2026-09-01,34.5,28.1,30.6,68.92,87,1.14,789.0,40.54,30.89,27.9,42.76,72.92,8,0,28.1,2026-09-01T13:00,85704,38197.62,57.18,True,5,100.0,66.67,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
101,RAJA GARDEN,2026-08-28,34.5,26.5,30.69,72.71,93,1.93,770.0,39.97,30.55,28.32,42.09,70.45,12,0,26.5,2026-08-28T13:00,72850,32859.72,47.61,True,1,33.33,58.37,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
101,RAJA GARDEN,2026-08-29,34.8,26.7,30.81,68.58,80,1.94,844.0,40.98,31.08,28.04,43.46,74.76,13,1,26.7,2026-08-29T13:00,72850,32859.72,47.61,True,2,66.67,64.44,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
101,RAJA GARDEN,2026-08-30,35.3,27.4,31.39,64.71,76,1.74,788.0,41.81,31.17,28.15,43.02,74.86,14,1,27.4,2026-08-30T14:00,72850,32859.72,47.61,True,3,100.0,67.02,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
101,RAJA GARDEN,2026-08-31,35.8,27.4,31.62,61.42,78,1.55,819.0,41.36,31.24,27.98,43.79,75.8,11,2,27.4,2026-08-31T13:00,72850,32859.72,47.61,True,4,100.0,67.86,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
101,RAJA GARDEN,2026-09-01,34.5,28.1,30.6,68.92,87,1.14,789.0,40.54,30.89,27.9,42.76,72.92,8,0,28.1,2026-09-01T13:00,72850,32859.72,47.61,True,5,100.0,65.28,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
102,RAGHUBIR NAGAR,2026-08-28,34.6,27.0,30.94,70.71,95,2.25,789.0,40.55,30.53,28.35,42.43,70.68,12,0,27.0,2026-08-28T13:00,21070,33814.8,34.85,True,1,33.33,56.76,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
102,RAGHUBIR NAGAR,2026-08-29,34.9,26.7,30.94,67.21,79,2.22,848.0,40.83,31.18,28.01,43.64,75.49,13,2,26.7,2026-08-29T13:00,21070,33814.8,34.85,True,2,66.67,63.14,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
102,RAGHUBIR NAGAR,2026-08-30,35.5,27.4,31.5,63.46,76,2.09,803.0,41.64,31.28,28.12,43.48,75.76,14,2,27.4,2026-08-30T14:00,21070,33814.8,34.85,True,3,100.0,65.89,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
102,RAGHUBIR NAGAR,2026-08-31,35.3,27.5,31.49,60.79,74,1.85,824.0,40.6,31.11,27.8,43.59,74.89,11,1,27.5,2026-08-31T13:00,21070,33814.8,34.85,True,4,100.0,65.14,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
102,RAGHUBIR NAGAR,2026-09-01,34.7,27.7,30.73,66.17,84,1.51,798.0,39.6,30.58,27.72,42.75,71.1,8,0,27.7,2026-09-01T13:00,21070,33814.8,34.85,True,5,100.0,61.84,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
103,PUNJABI BAGH,2026-08-28,34.5,26.5,30.69,72.71,93,1.93,770.0,39.97,30.55,28.32,42.09,70.45,12,0,26.5,2026-08-28T13:00,85113,27173.55,44.36,True,1,33.33,57.92,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
103,PUNJABI BAGH,2026-08-29,34.8,26.7,30.81,68.58,80,1.94,844.0,40.98,31.08,28.04,43.46,74.76,13,1,26.7,2026-08-29T13:00,85113,27173.55,44.36,True,2,66.67,63.95,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
103,PUNJABI BAGH,2026-08-30,35.3,27.4,31.39,64.71,76,1.74,788.0,41.81,31.17,28.15,43.02,74.86,14,1,27.4,2026-08-30T14:00,85113,27173.55,44.36,True,3,100.0,66.53,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
103,PUNJABI BAGH,2026-08-31,35.8,27.4,31.62,61.42,78,1.55,819.0,41.36,31.24,27.98,43.79,75.8,11,2,27.4,2026-08-31T13:00,85113,27173.55,44.36,True,4,100.0,67.36,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
103,PUNJABI BAGH,2026-09-01,34.5,28.1,30.6,68.92,87,1.14,789.0,40.54,30.89,27.9,42.76,72.92,8,0,28.1,2026-09-01T13:00,85113,27173.55,44.36,True,5,100.0,64.8,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
104,MADIPUR,2026-08-28,34.6,27.0,30.94,70.71,95,2.25,789.0,40.55,30.53,28.35,42.43,70.68,12,0,27.0,2026-08-28T13:00,15583,26960.21,25.51,True,1,33.33,55.44,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
104,MADIPUR,2026-08-29,34.9,26.7,30.94,67.21,79,2.22,848.0,40.83,31.18,28.01,43.64,75.49,13,2,26.7,2026-08-29T13:00,15583,26960.21,25.51,True,2,66.67,61.73,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
104,MADIPUR,2026-08-30,35.5,27.4,31.5,63.46,76,2.09,803.0,41.64,31.28,28.12,43.48,75.76,14,2,27.4,2026-08-30T14:00,15583,26960.21,25.51,True,3,100.0,64.47,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
104,MADIPUR,2026-08-31,35.3,27.5,31.49,60.79,74,1.85,824.0,40.6,31.11,27.8,43.59,74.89,11,1,27.5,2026-08-31T13:00,15583,26960.21,25.51,True,4,100.0,63.74,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
104,MADIPUR,2026-09-01,34.7,27.7,30.73,66.17,84,1.51,798.0,39.6,30.58,27.72,42.75,71.1,8,0,27.7,2026-09-01T13:00,15583,26960.21,25.51,True,5,100.0,60.51,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
105,RAJOURI GARDEN,2026-08-28,34.6,27.0,30.94,70.71,95,2.25,789.0,40.55,30.53,28.35,42.43,70.68,12,0,27.0,2026-08-28T13:00,84991,37478.94,56.16,True,1,33.33,59.77,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
105,RAJOURI GARDEN,2026-08-29,34.9,26.7,30.94,67.21,79,2.22,848.0,40.83,31.18,28.01,43.64,75.49,13,2,26.7,2026-08-29T13:00,84991,37478.94,56.16,True,2,66.67,66.36,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
105,RAJOURI GARDEN,2026-08-30,35.5,27.4,31.5,63.46,76,2.09,803.0,41.64,31.28,28.12,43.48,75.76,14,2,27.4,2026-08-30T14:00,84991,37478.94,56.16,True,3,100.0,69.12,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
105,RAJOURI GARDEN,2026-08-31,35.3,27.5,31.49,60.79,74,1.85,824.0,40.6,31.11,27.8,43.59,74.89,11,1,27.5,2026-08-31T13:00,84991,37478.94,56.16,True,4,100.0,68.33,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
105,RAJOURI GARDEN,2026-09-01,34.7,27.7,30.73,66.17,84,1.51,798.0,39.6,30.58,27.72,42.75,71.1,8,0,27.7,2026-09-01T13:00,84991,37478.94,56.16,True,5,100.0,64.87,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
106,TAGORE GARDEN,2026-08-28,34.6,27.0,30.94,70.71,95,2.25,789.0,40.55,30.53,28.35,42.43,70.68,12,0,27.0,2026-08-28T13:00,34732,42124.92,48.05,True,1,33.33,58.63,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
106,TAGORE GARDEN,2026-08-29,34.9,26.7,30.94,67.21,79,2.22,848.0,40.83,31.18,28.01,43.64,75.49,13,2,26.7,2026-08-29T13:00,34732,42124.92,48.05,True,2,66.67,65.13,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
106,TAGORE GARDEN,2026-08-30,35.5,27.4,31.5,63.46,76,2.09,803.0,41.64,31.28,28.12,43.48,75.76,14,2,27.4,2026-08-30T14:00,34732,42124.92,48.05,True,3,100.0,67.89,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
106,TAGORE GARDEN,2026-08-31,35.3,27.5,31.49,60.79,74,1.85,824.0,40.6,31.11,27.8,43.59,74.89,11,1,27.5,2026-08-31T13:00,34732,42124.92,48.05,True,4,100.0,67.11,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
106,TAGORE GARDEN,2026-09-01,34.7,27.7,30.73,66.17,84,1.51,798.0,39.6,30.58,27.72,42.75,71.1,8,0,27.7,2026-09-01T13:00,34732,42124.92,48.05,True,5,100.0,63.72,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
107,VISHNU GARDEN,2026-08-28,34.6,27.0,30.94,70.71,95,2.25,789.0,40.55,30.53,28.35,42.43,70.68,12,0,27.0,2026-08-28T13:00,19980,41375.03,43.24,True,1,33.33,57.95,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
107,VISHNU GARDEN,2026-08-29,34.9,26.7,30.94,67.21,79,2.22,848.0,40.83,31.18,28.01,43.64,75.49,13,2,26.7,2026-08-29T13:00,19980,41375.03,43.24,True,2,66.67,64.41,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
107,VISHNU GARDEN,2026-08-30,35.5,27.4,31.5,63.46,76,2.09,803.0,41.64,31.28,28.12,43.48,75.76,14,2,27.4,2026-08-30T14:00,19980,41375.03,43.24,True,3,100.0,67.16,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
107,VISHNU GARDEN,2026-08-31,35.3,27.5,31.49,60.79,74,1.85,824.0,40.6,31.11,27.8,43.59,74.89,11,1,27.5,2026-08-31T13:00,19980,41375.03,43.24,True,4,100.0,66.39,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
107,VISHNU GARDEN,2026-09-01,34.7,27.7,30.73,66.17,84,1.51,798.0,39.6,30.58,27.72,42.75,71.1,8,0,27.7,2026-09-01T13:00,19980,41375.03,43.24,True,5,100.0,63.03,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
108,KHYALA,2026-08-28,34.6,27.0,30.94,70.71,95,2.25,789.0,40.55,30.53,28.35,42.43,70.68,12,0,27.0,2026-08-28T13:00,55523,39067.69,50.11,True,1,33.33,58.92,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
108,KHYALA,2026-08-29,34.9,26.7,30.94,67.21,79,2.22,848.0,40.83,31.18,28.01,43.64,75.49,13,2,26.7,2026-08-29T13:00,55523,39067.69,50.11,True,2,66.67,65.44,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
108,KHYALA,2026-08-30,35.5,27.4,31.5,63.46,76,2.09,803.0,41.64,31.28,28.12,43.48,75.76,14,2,27.4,2026-08-30T14:00,55523,39067.69,50.11,True,3,100.0,68.2,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
